Rank,Podcast Title,Publisher,Category,Image URL,Apple URL,Release Date,Summary
11,SEQUESTERED Podcast - BP Productions,BP Productions,True Crime,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/e7/7c/05/e77c0594-2c2c-fbd4-4835-6cab613a241f/mza_16195933424433339870.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/sequestered-podcast/id1792642561?uo=2,2025-04-21T03:00:00-07:00,"SEQUESTERED: A Juror’s Perspective on the Murder Trial for Jasmine Pace
Dive deep into the gripping, real-life courtroom drama of SEQUESTERED, a 10-episode podcast that offers an exclusive, behind-the-scenes look at the State of Tennessee v. Jason Chen trial. Narrated by Sara, Juror #11, who served on the sequestered jury during the high-profile murder trial in Chattanooga, Tennessee, SEQUESTERED takes listeners through each day of the intense nine-day trial, from jury selection to the final verdict and sentencing.
But this podcast is more than a recounting of court proceedings. SEQUESTERED explores the emotional burden, ethical dilemmas, and profound responsibility of serving on a jury where justice hangs in the balance. With candid reflections from Juror #11, courtroom audio, commentary from District Attorney Coty Wamp, thoughts from journalist Latricia Thomas of NewsChannel 9, and more, this series sheds light on the complexities of the legal process and the human cost of tragedy.
Above all, SEQUESTERED is a tribute to Jasmine Pace - honoring her life, her story, and the truth about what happened to her.
Listen now to experience a rare, unfiltered perspective on one of Chattanooga’s most riveting murder trials.
Visit https://www.sequesteredpod.com for more information.
For inquiries, please email us at sequesteredpod@gmail.com"
12,The MeidasTouch Podcast - MeidasTouch Network,MeidasTouch Network,Politics,https://is1-ssl.mzstatic.com/image/thumb/Podcasts122/v4/73/32/80/733280d2-330a-2f24-c600-bc1088f9f899/mza_17833502176263457882.jpeg/170x170bb.png,https://podcasts.apple.com/us/podcast/the-meidastouch-podcast/id1510240831?uo=2,2025-04-24T14:00:00-07:00,"Ben, Brett and Jordy Meiselas are three brothers with very unique backgrounds! Ben is a top lawyer and Colin Kaepernick’s business partner. Brett is a two-time Emmy award winning video editor from the world of film and television. Jordy, the fan favorite, was an award-winning advertising executive in New York. The brothers' unique approach at covering news by combining hilarious brother banter with an unapologetic support of democracy has earned them millions of supporters in America and across the globe and made them social media icons. The MeidasTouch Podcast combines brotherly love, comedy, news coverage, and deep discussions about supporting our democracy and is the go-to destination for top political leaders who view the podcast as a pivotal stop for their interviews. Join the Meiselas brothers and their loyal following — the self-described MeidasMighty — with new episodes featuring all three brothers released every Tuesday and Friday morning, and breaking news updates every single day! Catch the MeidasTouch Podcast with the brothers LIVE on video every Monday and Thursday night at 8p ET/5p PT on the MeidasTouch YouTube channel!"
13,The Telepathy Tapes - Ky Dickens,Ky Dickens,Documentary,https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/5c/8d/bb/5c8dbb9c-52f6-341f-84f5-769abffb29c9/mza_14319301290408801082.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/the-telepathy-tapes/id1766382649?uo=2,2025-04-18T06:20:00-07:00,"In a world that often dismisses the extraordinary as mere fantasy, The Telepathy Tapes dares to explore the profound abilities of non-speakers with autism—individuals who have long been misunderstood and underestimated. These silent communicators possess gifts that defy conventional understanding, from telepathy to otherworldly perceptions, challenging the limits of what we believe to be real. For years, their parents and teachers have quietly witnessed these remarkable abilities, knowing that the time to share their truth would eventually come. But now, as the evidence mounts, the time has come to reveal what has been hidden in plain sight.
This groundbreaking series challenges everything we think we know about communication and the human mind, inviting listeners to step into a reality where the impossible is not only possible but happening every day. Through emotional stories and undeniable evidence, The Telepathy Tapes offers a fresh perspective on the profound connections that exist beyond words. Traveling and witnessing mind-boggling telepathy tests and forging deeply intimate relationships with families around the globe - Host Ky Dickens invites you to contemplate the world through the eyes of those who speak without words. Prepare to be captivated, challenged, and ultimately transformed as the series shines a light on the untold capabilities of those who have been underestimated for far too long."
14,The Megyn Kelly Show - SiriusXM,SiriusXM,News Commentary,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/8c/12/3a/8c123a1b-3612-c1f5-4c22-e5ad27965e9b/mza_4115034437521929187.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/the-megyn-kelly-show/id1532976305?uo=2,2025-04-25T03:00:00-07:00,"The Megyn Kelly Show is your home for open, honest and provocative conversations with the most interesting and important political, legal and cultural figures today. No BS. No agenda. And no fear."
15,This Past Weekend w/ Theo Von - Theo Von,Theo Von,Comedy,https://is1-ssl.mzstatic.com/image/thumb/Podcasts112/v4/13/cc/f0/13ccf01c-5013-c748-860c-55bb256997d0/mza_10522024484645310505.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/this-past-weekend-w-theo-von/id1190981360?uo=2,2025-04-24T06:58:00-07:00,What happened this past weekend. And sometimes what happened on other days.
16,"SmartLess - Jason Bateman, Sean Hayes, Will Arnett","Jason Bateman, Sean Hayes, Will Arnett",Comedy,https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/00/14/07/00140737-c476-8514-5013-5df3e02dbc05/mza_5005693613876036610.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/smartless/id1521578868?uo=2,2025-04-28T00:00:00-07:00,"""SmartLess"" with Jason Bateman, Sean Hayes, & Will Arnett is a podcast that connects and unites people from all walks of life to learn about shared experiences through thoughtful dialogue and organic hilarity. A nice surprise: in each episode of SmartLess, one of the hosts reveals his mystery guest to the other two. What ensues is a genuinely improvised and authentic conversation filled with laughter and newfound knowledge to feed the SmartLess mind.

Subscribe to SiriusXM Podcasts+ to listen to new episodes of SmartLess ad-free and a whole week early. 
Start a free trial now on Apple Podcasts or by visiting siriusxm.com/podcastsplus."
17,The Weekly Show with Jon Stewart - Comedy Central,Comedy Central,Comedy,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/4b/c5/1e/4bc51e28-0b31-c778-0bce-f96608b8d192/mza_1727399894138025723.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/the-weekly-show-with-jon-stewart/id1583132133?uo=2,2025-04-24T00:30:00-07:00,"On Mondays, Jon Stewart hosts The Daily Show, but on Thursdays, he's back in your ears with The Weekly Show -- a podcast featuring in-depth conversations with a range of special guests. From experts and advocates, to stakeholders and thought leaders, we discuss the challenges, changes, and ideas that are shaping our world."
18,"Blink | Jake Haendel's Story - Sony Music, Corinne Vien, Jacob Haendel","Sony Music, Corinne Vien, Jacob Haendel",True Crime,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/04/c9/f9/04c9f9f3-7874-ea1f-b107-6ed88500fb9b/mza_14894616011433451516.png/170x170bb.png,https://podcasts.apple.com/us/podcast/blink-jake-haendels-story/id1779813806?uo=2,2025-04-26T21:00:00-07:00,"Jacob Haendel has been handed a death sentence. He has a terminal progressive disease that's eating away at the white matter of his brain. In six months, he'll be dead. As the months progress, Jake slips into a coma, laying there in total darkness. But something odd has happened... Jake is fully conscious. Nobody knows that he can hear them. They’re certain he's no longer in there. With the promise that Jake will never recover, friends and family visit less and less. Until there is just one person left. A person who begins to whisper strange admissions in his ear. It is here, helpless in his hospital bed, that Jake realizes what may have gotten him here in the first place. The scariest thing in the room is no longer the potential of dying, but rather, the person sitting right next to him. This is Blink, the untold true story and survival of Jacob Haendel.
Blink is part of The Binge - subscribe to The Binge to get new episodes of Blink one week early and all episodes completely ad-free.
From serial killer nurses to psychic scammers – The Binge is your home for true crime stories that pull you in and never let go.
Follow The Binge Crimes and The Binge Cases wherever you get your podcasts to get new stories on the first of the month, every month. Hit ‘Subscribe’ at the top of the Blink show page on Apple Podcasts or visit GetTheBinge.com.
The Binge – feed your true crime obsession."
19,Morbid - Morbid Network | Wondery,Morbid Network | Wondery,True Crime,https://is1-ssl.mzstatic.com/image/thumb/Podcasts116/v4/6c/17/a4/6c17a4dd-4eff-f6a1-1f97-5c710c50edcb/mza_15940736951005474349.jpeg/170x170bb.png,https://podcasts.apple.com/us/podcast/morbid/id1379959217?uo=2,2025-05-07T23:00:00-07:00,"It’s a lighthearted nightmare in here, weirdos! Morbid is a true crime, creepy history and all things spooky podcast hosted by an autopsy technician and a hairstylist. Join us for a heavy dose of research with a dash of comedy thrown in for flavor."
20,Call Her Daddy - Alex Cooper,Alex Cooper,Comedy,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/77/f4/01/77f401a9-b238-737e-bd06-465b26e24fc3/mza_11362461085172718207.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/call-her-daddy/id1418960261?uo=2,2025-04-23T02:00:00-07:00,"The most-listened to podcast by women. Alex Cooper’s Call Her Daddy has been creating conversation since 2018. Cooper cuts through the BS with topics and guests - asking the burning questions you want the answers to. There will be laughter, there will be tears. There will be everything in between. New episodes drop on Wednesday and Sunday. Want more? Join the Daddy Gang @callherdaddy"
21,The School of Greatness - Lewis Howes,Lewis Howes,Mental Health,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/b2/17/b5/b217b58d-a605-8828-2cfe-3694a55a6284/mza_2870672035194873125.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/the-school-of-greatness/id596047499?uo=2,2025-04-25T00:00:00-07:00,"Lewis Howes is a New York Times best-selling author, 2x All-American athlete, keynote speaker, and entrepreneur. The School of Greatness shares inspiring interviews from the most successful people on the planet—world-renowned leaders in business, entertainment, sports, science, health, and literature—to inspire YOU to unlock your inner greatness and live your best life."
22,Pod Save America - Crooked Media,Crooked Media,Politics,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/b1/61/22/b1612204-971c-92ff-2096-d40337b8a3db/mza_2013869417360432103.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/pod-save-america/id1192761536?uo=2,2025-04-25T00:05:00-07:00,"Pod Save America is a no-b******t conversation about politics hosted by former Obama aides Jon Favreau, Jon Lovett, Dan Pfeiffer, and Tommy Vietor. It cuts through the noise to break down the week’s news and helps people figure out what matters and how they can help. They’re regularly joined by journalists, activists, politicians, entertainers, and world leaders. You can watch on YouTube or listen to new episodes every Tuesday and Friday.
 
Subscribe to Friends of the Pod! Your subscription makes Crooked’s work possible and gives you access to ad-free episodes of Pod Save America and Pod Save the World, plus exclusive content and a lively Discord community.  Learn more and subscribe at crooked.com/friends or on Apple Podcasts. 

For a transcript of an episode of Pod Save America, please email transcripts@crooked.com."
23,48 Hours - CBS News,CBS News,True Crime,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/c8/4f/8f/c84f8fa2-074d-6023-7f31-9c781b80dedc/mza_7616553513239265555.jpeg/170x170bb.png,https://podcasts.apple.com/us/podcast/48-hours/id965818306?uo=2,2025-04-24T00:01:00-07:00,"“48 Hours” uncovers the narrative behind crime and justice cases that have left a lasting mark on society. Award-winning CBS News correspondents thoughtfully examine the complexities of each crime by transporting you to the heart of the investigation through key evidence and gripping interviews with critical figures from the case. The unmatched reporting has made a tangible difference in countless lives, leading to the exoneration of wrongly convicted individuals and the reopening — and resolution — of previously closed cold cases.
Listen to a new “48 Hours” episode every Monday and then go deeper into the case on Tuesdays with the immersive “Post Mortem” series — producers and correspondents join host Anne-Marie Green to discuss key evidence, dead ends, mishaps, and stranger-than-fiction twists they faced in the field. Also available on the 48 Hours YouTube channel. Plus, every Thursday, we’ll revisit a classic “48 Hours” episode. 
Get ad free access to ""48 Hours"" podcasts by subscribing to 48 Hours+ on Apple Podcasts: https://apple.co/4aEgENo."
24,Mick Unplugged - Mick Hunt,Mick Hunt,Self-Improvement,https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/7f/44/11/7f4411cd-2880-2166-291f-34aac27d1284/mza_14593941637060835485.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/mick-unplugged/id1731755953?uo=2,2025-04-21T02:00:00-07:00,"""Mick Unplugged"" is a transformative podcast that challenges listeners to move beyond the conventional 'Why' and embrace the empowering realm of 'Because.' Hosted by Mick Hunt, the voice of Modern Leadership, this podcast is designed for leaders, doers, and anyone aspiring to create meaningful impact in both their personal and professional lives.

Each episode delves into the principles of Modern Leadership, focusing on discovering your 'Because'—your core driving force—and how it can turn dreams into reality and aspirations into actionable steps. With practical advice, real-life stories, and forward-thinking insights, you’ll learn to make your 'Because' a daily focus, fueling your journey toward success and fulfillment.

Whether you’re looking to deepen your motivation, set meaningful goals, or apply modern leadership theories to overcome challenges, ""Mick Unplugged"" provides the tools, strategies, and insights to guide your path. Subscribe now and start transforming your life with purpose and modern leadership principles."
25,Shawn Ryan Show - Shawn Ryan,Shawn Ryan,Philosophy,https://is1-ssl.mzstatic.com/image/thumb/Podcasts112/v4/d0/b3/2d/d0b32d7f-ab2d-5791-83b0-854f698a9184/mza_13561258173056659752.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/shawn-ryan-show/id1492492083?uo=2,2025-04-21T03:00:00-07:00,"The ""Shawn Ryan Show"" is hosted by Shawn Ryan, former U.S. Navy SEAL, CIA Contractor, and Founder of Vigilance Elite. We tell REAL stories about REAL people from all walks of life. We discuss the ups and downs, wins and losses, successes and struggles, the good and bad in a respectful but candid way with our guest. We're better than entertainment, we're the REAL thing. Please enjoy the show."
26,Climbing the Walls - Understood.org,Understood.org,Society & Culture,https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/d5/d9/c3/d5d9c3e6-3a98-6807-e2bd-28c35a5a2c18/mza_1469492264469190982.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/climbing-the-walls/id1801210149?uo=2,2025-04-22T21:00:00-07:00,"From Understood.org, Climbing the Walls is an investigative limited-series podcast that explores why women weren’t diagnosed with ADHD for so long — and how the massive uptick in diagnoses since the pandemic is changing the ways we think about ADHD."
27,Aware and Aggravated - Aware and Aggravated,Aware and Aggravated,Self-Improvement,https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/aa/16/bb/aa16bb2d-350e-011e-4f43-2572805b452f/mza_13392868662349480643.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/aware-and-aggravated/id1594031639?uo=2,2025-04-13T10:37:00-07:00,Make Leveling Up Your Natural State Of Being.
28,Digital Social Hour - Sean Kelly,Sean Kelly,Self-Improvement,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/aa/68/2c/aa682c99-207b-6e8b-02d7-bae64e1b2fe4/mza_5294781627765835626.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/digital-social-hour/id1676846015?uo=2,2025-04-24T23:00:00-07:00,"Step into the world of unfiltered conversations with Digital Social Hour, the podcast where host Sean Kelly dives deep with some of the world's most controversial and thought-provoking figures. From trailblazing entrepreneurs to polarizing cultural icons, no topic is off-limits as Sean explores the stories, challenges, and triumphs that define their lives.

Get ready for bold questions, unexpected insights, and raw, authentic dialogue that challenges conventional thinking. Whether you’re seeking inspiration or just want to hear what others are too afraid to say, Digital Social Hour delivers the conversations that others won’t."
29,Pardon My Take - Barstool Sports,Barstool Sports,Football,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/35/74/6a/35746a0c-7687-7dde-ff04-338d93e78303/mza_10377078556009223546.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/pardon-my-take/id1089022756?uo=2,2025-04-24T23:49:00-07:00,"On ""Pardon My Take,"" Big Cat & PFT Commenter deliver the loudest and most correct sports takes in the history of the spoken word. Daily topics, guests, and an inability to tell what the hosts might be doing will make this your new favorite sports talk show. This is a podcast that will without a doubt change your life for the better- guaranteed, or your money back. *Pretend a reggaeton air horn is going off right now* PMT.


You can find every episode of this show on Apple Podcasts, Spotify or YouTube. Prime Members can listen ad-free on Amazon Music. For more, visit barstool.link/pardon-my-take"
30,The Jamie Kern Lima Show - Jamie Kern Lima,Jamie Kern Lima,Self-Improvement,https://is1-ssl.mzstatic.com/image/thumb/Podcasts112/v4/db/b1/15/dbb1153e-f3a7-896d-5027-a7f9306e1529/mza_12821246780636107348.jpeg/170x170bb.png,https://podcasts.apple.com/us/podcast/the-jamie-kern-lima-show/id1728723635?uo=2,2025-04-17T03:46:00-07:00,"Get Ready to Believe In YOU! Welcome to The Jamie Kern Lima Show!

Imagine. . . overcoming self-doubt, learning to believe in yourself and trust yourself and know you’re enough. Imagine stepping into all of who you are, and into the person you we’re born to be. . . unstoppable. Unstoppable in your joy, your success, your faith and in your belief in yourself! The Jamie Kern Lima Show is for you if you’re ready to ignite that light inside of you, and learn to shine it brightly, even if it’s for the first time, or for the first time in a long time. IT’s YOUR time, today is YOUR day, and THIS is your show. This is How You Trust Yourself. This is How You Love Yourself. This is How You Believe in Yourself. Welcome to The Jamie Kern Lima Show!

I’m Jamie Kern Lima and I went from struggling waitress facing non-stop rejection, to building a billion-dollar business from my living room, and becoming a New York Times bestselling author, all by learning to believe in myself. And I’m obsessed with showing you how you can believe in yourself too! If self-doubt has already cost you too much in your life, it’s time to change that together!

I interview experts, celebrities, athletes and thought leaders so that through aha-moment-filled conversations, and insights you won’t hear anywhere else, every episode will leave you with tactical tools and takeaways you can apply to your life right now on your journey of living your best life and becoming the person you’re born to be!

The Jamie Kern Lima Show debuts this Summer. New episodes every Tuesday. Your support means EVERYTHING to me and I don’t take it for granted — click the follow button and leave a review to help us spread the love with The Jamie Kern Lima Show. This is YOUR show, and I’m so honored to be on this journey with you, together!

To learn more about Jamie, go deeper into the show, find the resources and research she mentions, or submit a topic or question, visit https://www.JamieKernLima.com/Show"
31,The Charlie Kirk Show - Charlie Kirk,Charlie Kirk,News Commentary,https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/74/d3/2c/74d32ced-dcac-ba1d-7a37-a66db810f131/mza_4540846771952080561.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/the-charlie-kirk-show/id1460600818?uo=2,2025-04-24T13:00:00-07:00,"Charlie is America's hardest working grassroots activist who has your inside scoop on the biggest news of the day and what's really going on behind the headlines. The founder of Turning Point USA and one of social media's most engaged personalities, Charlie is on the front lines of America’s culture war, mobilizing hundreds of thousands of students on over 3,500 college and high school campuses across the country, bringing you your daily dose of clarity in a sea of chaos all from his signature no-holds-barred, unapologetically conservative, freedom-loving point of view.

You can also watch Charlie Kirk on Salem News Channel"
32,The Commercial Break - Comedy Podcast | Commercial Break LLC,Comedy Podcast | Commercial Break LLC,Improv,https://is1-ssl.mzstatic.com/image/thumb/Podcasts122/v4/cc/cc/d2/ccccd265-f12b-6b2e-3947-de2fa70814d0/mza_215418505170082749.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/the-commercial-break/id1506436093?uo=2,2025-04-25T06:25:00-07:00,"The Commercial Break is a podcast. It is summarized by an A.I. chat bot like this: """"TCB is an improv-comedy, interview, and variety podcast hosted by longtime best friends Bryan Green and Krissy Hoadley. Often described as the ""Cheesecake Factory of comedy podcasts,"" it’s a show that proudly embraces its chaotic, unpolished charm—self-aware that it’s ""just FINE"" and not for everyone. Airing Tuesday through Friday, the duo dives into their quirky friendship, blending twisted humor with discussions on pop culture, internet oddities, relationship drama, and dark comedy. They also have celebrity guests each Tuesday, play games and offer intentionally half-baked responses to listener questions and comments, creating a vibe that feels like a casual, irreverent escape from everyday life.
The podcast features a mix of standalone episodes and a Tuesday ""TCB Infomercial"" series, where they bring in notable guests—think comedians like Ron Funches, Ari Shaffir, Hannah Berner, Steve-O, Tom Papa or Felipe Esparza—to riff on everything from personal anecdotes to absurd life experiences. Show topics can range from the mundane (spam texts, bad dating advice) to the bizarre (Mountain Monsters, Naked Attraction reactions), often veering into unexpected tangents that highlight their offbeat chemistry. It’s less about structure and more about the raw, relatable banter between two people who’ve known each other for decades, making listeners feel like they’re eavesdropping on a hilarious, unfiltered conversation.""""
Thanks you silly chat bot! Wah-bam!!"
33,The Nerve with Maureen Callahan - MK Media,MK Media,Society & Culture,https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/3e/88/3f/3e883f67-7e0b-618e-ca0a-fd204ce3248f/mza_2058904712559184903.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/the-nerve-with-maureen-callahan/id1808684702?uo=2,2025-04-22T04:00:00-07:00,"From pop culture to true crime, Maureen Callahan dissects everything with smarts, humor, and skepticism. Come to The Nerve, for conversations no one else dares to have."
